,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,련애한다,련애해,련애해요,련애합니다
Indicative,Past,련애했다,련애했어,련애했어요,련애했습니다
Interrogative,Non-past,련애하느냐,련애해,련애해요,련애합니까
Interrogative,Past,련애했느냐,련애했어,련애했어요,련애했습니까
Hortative,Hortative,련애하자,련애해,련애해요,련애합시다
Imperative,Imperative,"련애해라, 련애하여라",련애해,련애해요,련애합시오
Assertive,Assertive,련애하겠다,련애하겠어,련애하겠어요,련애하겠습니다
,,,,,
Cause/Reason,Cause/Reason,련애해,"련애해서, 련애하여서",련애하니,련애하니까
Contrast,Contrast,련애하지만,련애하는데,련애하더니,
Conjunction,Conjunction,련애하고,,,
Condition,Condition,련애하면,"련애해야, 련애하여야",,
Motive,Motive,련애하려고,,,
,,,,,
Verbal nouns,Verbal nouns,련애함,련애하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"련애했음, 련애하였음","련애했기, 련애하였기",,
Determiners,Past,련애한,,,
Determiners,Present,련애하는,,,
Determiners,Future,련애할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,련애하신다,련애하셔,"련애하세요, 련애하셔요",련애하십니다
Indicative,Past,련애하셨다,련애하셨어,련애하셨어요,련애하셨습니다
Interrogative,Non-past,련애하시느냐,련애하셔,"련애하세요, 련애하셔요",련애하십니까
Interrogative,Past,련애하셨느냐,련애하셨어,련애하셨어요,련애하셨습니까
Imperative,Imperative,련애하시라,련애하셔,련애하세요,련애하십시오
Assertive,Assertive,련애하시겠다,련애하시겠어,련애하시겠어요,련애하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,련애하셔,련애하셔서,련애하시니,련애하시니까
Contrast,Contrast,련애하시지만,련애하시는데,련애하시더니,
Conjunction,Conjunction,련애하시고,,,
Condition,Condition,련애하시면,련애하셔야,,
Motive,Motive,련애하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,련애하심,련애하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,련애하셨음,련애하셨기,,
Determiners,Past,련애하신,,,
Determiners,Present,련애하시는,,,
Determiners,Future,련애하실,,,
