		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	굼뜨다	굼떠	굼떠요	굼뜹니다
Indicative	Past	굼떴다	굼떴어	굼떴어요	굼떴습니다
Interrogative	Non-past	굼뜨냐	굼떠	굼떠요	굼뜹니까
Interrogative	Past	굼떴냐	굼떴어	굼떴어요	굼떴습니까
Assertive	Assertive	굼뜨겠다	굼뜨겠어	굼뜨겠어요	굼뜨겠습니다
					
Cause/Reason	Cause/Reason	굼떠	굼떠서	굼뜨니	굼뜨니까
Contrast	Contrast	굼뜨지만	굼뜬데	굼뜨더니	
Conjunction	Conjunction	굼뜨고			
Condition	Condition	굼뜨면	굼떠야		
					
Verbal nouns	Verbal nouns	굼뜸	굼뜨기		
Past-tense verbal nouns	Past-tense verbal nouns	굼떴음	굼떴기		
Determiners	Present		굼뜬		
Determiners	Future		굼뜰		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	굼뜨시다	굼뜨셔	굼뜨세요굼뜨셔요	굼뜨십니다
Indicative	Past	굼뜨셨다	굼뜨셨어	굼뜨셨어요	굼뜨셨습니다
Interrogative	Non-past	굼뜨시냐	굼뜨셔	굼뜨세요굼뜨셔요	굼뜨십니까
Interrogative	Past	굼뜨셨냐	굼뜨셨어	굼뜨셨어요	굼뜨셨습니까
Assertive	Assertive	굼뜨시겠다	굼뜨시겠어	굼뜨시겠어요	굼뜨시겠습니다
					
Cause/Reason	Cause/Reason	굼뜨셔	굼뜨셔서	굼뜨시니	굼뜨시니까
Contrast	Contrast	굼뜨시지만	굼뜨신데	굼뜨시더니	
Conjunction	Conjunction	굼뜨시고			
Condition	Condition	굼뜨시면	굼뜨셔야		
					
Verbal nouns	Verbal nouns	굼뜨심	굼뜨시기		
Past-tense verbal nouns	Past-tense verbal nouns	굼뜨셨음	굼뜨셨기		
Determiners	Present		굼뜨신		
Determiners	Future		굼뜨실		
