,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,떨어진다,떨어져,"떨어져요, 떨어지어요",떨어집니다
Indicative,Past,떨어졌다,떨어졌어,떨어졌어요,떨어졌습니다
Interrogative,Non-past,떨어지느냐,떨어져,"떨어져요, 떨어지어요",떨어집니까
Interrogative,Past,떨어졌느냐,떨어졌어,떨어졌어요,떨어졌습니까
Hortative,Hortative,떨어지자,떨어져,"떨어져요, 떨어지어요",떨어집시다
Imperative,Imperative,"떨어져라, 떨어지어라",떨어져,"떨어져요, 떨어지어요",떨어집시오
Assertive,Assertive,떨어지겠다,떨어지겠어,떨어지겠어요,떨어지겠습니다
,,,,,
Cause/Reason,Cause/Reason,떨어져,"떨어져서, 떨어지어서",떨어지니,떨어지니까
Contrast,Contrast,떨어지지만,떨어지는데,떨어지더니,
Conjunction,Conjunction,떨어지고,,,
Condition,Condition,떨어지면,"떨어져야, 떨어지어야",,
Motive,Motive,떨어지려고,,,
,,,,,
Verbal nouns,Verbal nouns,떨어짐,떨어지기,,
Past-tense verbal nouns,Past-tense verbal nouns,"떨어졌음, 떨어지었음","떨어졌기, 떨어지었기",,
Determiners,Past,떨어진,,,
Determiners,Present,떨어지는,,,
Determiners,Future,떨어질,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,떨어지신다,떨어지셔,"떨어지세요, 떨어지셔요",떨어지십니다
Indicative,Past,떨어지셨다,떨어지셨어,떨어지셨어요,떨어지셨습니다
Interrogative,Non-past,떨어지시느냐,떨어지셔,"떨어지세요, 떨어지셔요",떨어지십니까
Interrogative,Past,떨어지셨느냐,떨어지셨어,떨어지셨어요,떨어지셨습니까
Imperative,Imperative,떨어지시라,떨어지셔,떨어지세요,떨어지십시오
Assertive,Assertive,떨어지시겠다,떨어지시겠어,떨어지시겠어요,떨어지시겠습니다
,,,,,
Cause/Reason,Cause/Reason,떨어지셔,떨어지셔서,떨어지시니,떨어지시니까
Contrast,Contrast,떨어지시지만,떨어지시는데,떨어지시더니,
Conjunction,Conjunction,떨어지시고,,,
Condition,Condition,떨어지시면,떨어지셔야,,
Motive,Motive,떨어지시려고,,,
,,,,,
Verbal nouns,Verbal nouns,떨어지심,떨어지시기,,
Past-tense verbal nouns,Past-tense verbal nouns,떨어지셨음,떨어지셨기,,
Determiners,Past,떨어지신,,,
Determiners,Present,떨어지시는,,,
Determiners,Future,떨어지실,,,
