,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,끔찍끔찍하다,끔찍끔찍해,끔찍끔찍해요,끔찍끔찍합니다
Indicative,Past,끔찍끔찍했다,끔찍끔찍했어,끔찍끔찍했어요,끔찍끔찍했습니다
Interrogative,Non-past,끔찍끔찍하냐,끔찍끔찍해,끔찍끔찍해요,끔찍끔찍합니까
Interrogative,Past,끔찍끔찍했냐,끔찍끔찍했어,끔찍끔찍했어요,끔찍끔찍했습니까
Assertive,Assertive,끔찍끔찍하겠다,끔찍끔찍하겠어,끔찍끔찍하겠어요,끔찍끔찍하겠습니다
,,,,,
Cause/Reason,Cause/Reason,끔찍끔찍해,끔찍끔찍해서끔찍끔찍하여서,끔찍끔찍하니,끔찍끔찍하니까
Contrast,Contrast,끔찍끔찍하지만,끔찍끔찍한데,끔찍끔찍하더니,
Conjunction,Conjunction,끔찍끔찍하고,,,
Condition,Condition,끔찍끔찍하면,끔찍끔찍해야끔찍끔찍하여야,,
,,,,,
Verbal nouns,Verbal nouns,끔찍끔찍함,끔찍끔찍하기,,
Past-tense verbal nouns,Past-tense verbal nouns,끔찍끔찍했음끔찍끔찍하였음,끔찍끔찍했기끔찍끔찍하였기,,
Determiners,Present,,끔찍끔찍한,,
Determiners,Future,,끔찍끔찍할,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,끔찍끔찍하시다,끔찍끔찍하셔,끔찍끔찍하세요끔찍끔찍하셔요,끔찍끔찍하십니다
Indicative,Past,끔찍끔찍하셨다,끔찍끔찍하셨어,끔찍끔찍하셨어요,끔찍끔찍하셨습니다
Interrogative,Non-past,끔찍끔찍하시냐,끔찍끔찍하셔,끔찍끔찍하세요끔찍끔찍하셔요,끔찍끔찍하십니까
Interrogative,Past,끔찍끔찍하셨냐,끔찍끔찍하셨어,끔찍끔찍하셨어요,끔찍끔찍하셨습니까
Assertive,Assertive,끔찍끔찍하시겠다,끔찍끔찍하시겠어,끔찍끔찍하시겠어요,끔찍끔찍하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,끔찍끔찍하셔,끔찍끔찍하셔서,끔찍끔찍하시니,끔찍끔찍하시니까
Contrast,Contrast,끔찍끔찍하시지만,끔찍끔찍하신데,끔찍끔찍하시더니,
Conjunction,Conjunction,끔찍끔찍하시고,,,
Condition,Condition,끔찍끔찍하시면,끔찍끔찍하셔야,,
,,,,,
Verbal nouns,Verbal nouns,끔찍끔찍하심,끔찍끔찍하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,끔찍끔찍하셨음,끔찍끔찍하셨기,,
Determiners,Present,,끔찍끔찍하신,,
Determiners,Future,,끔찍끔찍하실,,
,,,,,
