,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,봉착한다,봉착해,봉착해요,봉착합니다
Indicative,Past,봉착했다,봉착했어,봉착했어요,봉착했습니다
Interrogative,Non-past,봉착하느냐,봉착해,봉착해요,봉착합니까
Interrogative,Past,봉착했느냐,봉착했어,봉착했어요,봉착했습니까
Hortative,Hortative,봉착하자,봉착해,봉착해요,봉착합시다
Imperative,Imperative,"봉착해라, 봉착하여라",봉착해,봉착해요,봉착합시오
Assertive,Assertive,봉착하겠다,봉착하겠어,봉착하겠어요,봉착하겠습니다
,,,,,
Cause/Reason,Cause/Reason,봉착해,"봉착해서, 봉착하여서",봉착하니,봉착하니까
Contrast,Contrast,봉착하지만,봉착하는데,봉착하더니,
Conjunction,Conjunction,봉착하고,,,
Condition,Condition,봉착하면,"봉착해야, 봉착하여야",,
Motive,Motive,봉착하려고,,,
,,,,,
Verbal nouns,Verbal nouns,봉착함,봉착하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"봉착했음, 봉착하였음","봉착했기, 봉착하였기",,
Determiners,Past,봉착한,,,
Determiners,Present,봉착하는,,,
Determiners,Future,봉착할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,봉착하신다,봉착하셔,"봉착하세요, 봉착하셔요",봉착하십니다
Indicative,Past,봉착하셨다,봉착하셨어,봉착하셨어요,봉착하셨습니다
Interrogative,Non-past,봉착하시느냐,봉착하셔,"봉착하세요, 봉착하셔요",봉착하십니까
Interrogative,Past,봉착하셨느냐,봉착하셨어,봉착하셨어요,봉착하셨습니까
Imperative,Imperative,봉착하시라,봉착하셔,봉착하세요,봉착하십시오
Assertive,Assertive,봉착하시겠다,봉착하시겠어,봉착하시겠어요,봉착하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,봉착하셔,봉착하셔서,봉착하시니,봉착하시니까
Contrast,Contrast,봉착하시지만,봉착하시는데,봉착하시더니,
Conjunction,Conjunction,봉착하시고,,,
Condition,Condition,봉착하시면,봉착하셔야,,
Motive,Motive,봉착하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,봉착하심,봉착하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,봉착하셨음,봉착하셨기,,
Determiners,Past,봉착하신,,,
Determiners,Present,봉착하시는,,,
Determiners,Future,봉착하실,,,
