		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	아무렇다	아무래	아무래요	아무렇습니다
Indicative	Past	아무랬다	아무랬어	아무랬어요	아무랬습니다
Interrogative	Non-past	아무러냐	아무래	아무래요	아무렇습니까
Interrogative	Past	아무랬냐	아무랬어	아무랬어요	아무랬습니까
Assertive	Assertive	아무렇겠다	아무렇겠어	아무렇겠어요	아무렇겠습니다
					
Cause/Reason	Cause/Reason	아무래	아무래서	아무러니	아무러니까
Contrast	Contrast	아무렇지만	아무런데	아무렇더니	
Conjunction	Conjunction	아무렇고			
Condition	Condition	아무러면	아무래야		
					
Verbal nouns	Verbal nouns	아무럼	아무렇기		
Past-tense verbal nouns	Past-tense verbal nouns	아무랬음	아무랬기		
Determiners	Present		아무런		
Determiners	Future		아무럴		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	아무러시다	아무러셔	아무러세요, 아무러셔요	아무러십니다
Indicative	Past	아무러셨다	아무러셨어	아무러셨어요	아무러셨습니다
Interrogative	Non-past	아무러시냐	아무러셔	아무러세요, 아무러셔요	아무러십니까
Interrogative	Past	아무러셨냐	아무러셨어	아무러셨어요	아무러셨습니까
Assertive	Assertive	아무러시겠다	아무러시겠어	아무러시겠어요	아무러시겠습니다
					
Cause/Reason	Cause/Reason	아무러셔	아무러셔서	아무러시니	아무러시니까
Contrast	Contrast	아무러시지만	아무러신데	아무러시더니	
Conjunction	Conjunction	아무러시고			
Condition	Condition	아무러시면	아무러셔야		
					
Verbal nouns	Verbal nouns	아무러심	아무러시기		
Past-tense verbal nouns	Past-tense verbal nouns	아무러셨음	아무러셨기		
Determiners	Present		아무러신		
Determiners	Future		아무러실		
