,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,성실하다,성실해,성실해요,성실합니다
Indicative,Past,성실했다,성실했어,성실했어요,성실했습니다
Interrogative,Non-past,성실하냐,성실해,성실해요,성실합니까
Interrogative,Past,성실했냐,성실했어,성실했어요,성실했습니까
Assertive,Assertive,성실하겠다,성실하겠어,성실하겠어요,성실하겠습니다
,,,,,
Cause/Reason,Cause/Reason,성실해,"성실해서, 성실하여서",성실하니,성실하니까
Contrast,Contrast,성실하지만,성실한데,성실하더니,
Conjunction,Conjunction,성실하고,,,
Condition,Condition,성실하면,"성실해야, 성실하여야",,
,,,,,
Verbal nouns,Verbal nouns,성실함,성실하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"성실했음, 성실하였음","성실했기, 성실하였기",,
Determiners,Present,,성실한,,
Determiners,Future,,성실할,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,성실하시다,성실하셔,"성실하세요, 성실하셔요",성실하십니다
Indicative,Past,성실하셨다,성실하셨어,성실하셨어요,성실하셨습니다
Interrogative,Non-past,성실하시냐,성실하셔,"성실하세요, 성실하셔요",성실하십니까
Interrogative,Past,성실하셨냐,성실하셨어,성실하셨어요,성실하셨습니까
Assertive,Assertive,성실하시겠다,성실하시겠어,성실하시겠어요,성실하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,성실하셔,성실하셔서,성실하시니,성실하시니까
Contrast,Contrast,성실하시지만,성실하신데,성실하시더니,
Conjunction,Conjunction,성실하시고,,,
Condition,Condition,성실하시면,성실하셔야,,
,,,,,
Verbal nouns,Verbal nouns,성실하심,성실하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,성실하셨음,성실하셨기,,
Determiners,Present,,성실하신,,
Determiners,Future,,성실하실,,
