,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,있으시다,있으셔,"있으세요, 있으셔요",있으십니다
Indicative,Past,있으셨다,있으셨어,있으셨어요,있으셨습니다
Interrogative,Non-past,있으시냐,있으셔,"있으세요, 있으셔요",있으십니까
Interrogative,Past,있으셨냐,있으셨어,있으셨어요,있으셨습니까
Assertive,Assertive,있으시겠다,있으시겠어,있으시겠어요,있으시겠습니다
,,,,,
Cause/Reason,Cause/Reason,있으셔,있으셔서,있으시니,있으시니까
Contrast,Contrast,있으시지만,있으신데,있으시더니,
Conjunction,Conjunction,있으시고,,,
Condition,Condition,있으시면,있으셔야,,
,,,,,
Verbal nouns,Verbal nouns,있으심,있으시기,,
Past-tense verbal nouns,Past-tense verbal nouns,있으셨음,있으셨기,,
Determiners,Present,,있으신,,
Determiners,Future,,있으실,,
