		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	반긴다	반겨	반겨요, 반기어요	반깁니다
Indicative	Past	반겼다	반겼어	반겼어요	반겼습니다
Interrogative	Non-past	반기느냐	반겨	반겨요, 반기어요	반깁니까
Interrogative	Past	반겼느냐	반겼어	반겼어요	반겼습니까
Hortative	Hortative	반기자	반겨	반겨요, 반기어요	반깁시다
Imperative	Imperative	반겨라, 반기어라	반겨	반겨요, 반기어요	반깁시오
Assertive	Assertive	반기겠다	반기겠어	반기겠어요	반기겠습니다
					
Cause/Reason	Cause/Reason	반겨	반겨서, 반기어서	반기니	반기니까
Contrast	Contrast	반기지만	반기는데	반기더니	
Conjunction	Conjunction	반기고			
Condition	Condition	반기면	반겨야, 반기어야		
Motive	Motive	반기려고			
					
Verbal nouns	Verbal nouns	반김	반기기		
Past-tense verbal nouns	Past-tense verbal nouns	반겼음, 반기었음	반겼기, 반기었기		
Determiners	Past	반긴			
Determiners	Present	반기는			
Determiners	Future	반길			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	반기신다	반기셔	반기세요, 반기셔요	반기십니다
Indicative	Past	반기셨다	반기셨어	반기셨어요	반기셨습니다
Interrogative	Non-past	반기시느냐	반기셔	반기세요, 반기셔요	반기십니까
Interrogative	Past	반기셨느냐	반기셨어	반기셨어요	반기셨습니까
Imperative	Imperative	반기시라	반기셔	반기세요	반기십시오
Assertive	Assertive	반기시겠다	반기시겠어	반기시겠어요	반기시겠습니다
					
Cause/Reason	Cause/Reason	반기셔	반기셔서	반기시니	반기시니까
Contrast	Contrast	반기시지만	반기시는데	반기시더니	
Conjunction	Conjunction	반기시고			
Condition	Condition	반기시면	반기셔야		
Motive	Motive	반기시려고			
					
Verbal nouns	Verbal nouns	반기심	반기시기		
Past-tense verbal nouns	Past-tense verbal nouns	반기셨음	반기셨기		
Determiners	Past	반기신			
Determiners	Present	반기시는			
Determiners	Future	반기실			
