,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,서늘한다,서늘해,서늘해요,서늘합니다
Indicative,Past,서늘했다,서늘했어,서늘했어요,서늘했습니다
Interrogative,Non-past,서늘하느냐,서늘해,서늘해요,서늘합니까
Interrogative,Past,서늘했느냐,서늘했어,서늘했어요,서늘했습니까
Hortative,Hortative,서늘하자,서늘해,서늘해요,서늘합시다
Imperative,Imperative,"서늘해라, 서늘하여라",서늘해,서늘해요,서늘합시오
Assertive,Assertive,서늘하겠다,서늘하겠어,서늘하겠어요,서늘하겠습니다
,,,,,
Cause/Reason,Cause/Reason,서늘해,"서늘해서, 서늘하여서",서늘하니,서늘하니까
Contrast,Contrast,서늘하지만,서늘하는데,서늘하더니,
Conjunction,Conjunction,서늘하고,,,
Condition,Condition,서늘하면,"서늘해야, 서늘하여야",,
Motive,Motive,서늘하려고,,,
,,,,,
Verbal nouns,Verbal nouns,서늘함,서늘하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"서늘했음, 서늘하였음","서늘했기, 서늘하였기",,
Determiners,Past,서늘한,,,
Determiners,Present,서늘하는,,,
Determiners,Future,서늘할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,서늘하신다,서늘하셔,"서늘하세요, 서늘하셔요",서늘하십니다
Indicative,Past,서늘하셨다,서늘하셨어,서늘하셨어요,서늘하셨습니다
Interrogative,Non-past,서늘하시느냐,서늘하셔,"서늘하세요, 서늘하셔요",서늘하십니까
Interrogative,Past,서늘하셨느냐,서늘하셨어,서늘하셨어요,서늘하셨습니까
Imperative,Imperative,서늘하시라,서늘하셔,서늘하세요,서늘하십시오
Assertive,Assertive,서늘하시겠다,서늘하시겠어,서늘하시겠어요,서늘하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,서늘하셔,서늘하셔서,서늘하시니,서늘하시니까
Contrast,Contrast,서늘하시지만,서늘하시는데,서늘하시더니,
Conjunction,Conjunction,서늘하시고,,,
Condition,Condition,서늘하시면,서늘하셔야,,
Motive,Motive,서늘하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,서늘하심,서늘하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,서늘하셨음,서늘하셨기,,
Determiners,Past,서늘하신,,,
Determiners,Present,서늘하시는,,,
Determiners,Future,서늘하실,,,
