,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,악랄하다,악랄해,악랄해요,악랄합니다
Indicative,Past,악랄했다,악랄했어,악랄했어요,악랄했습니다
Interrogative,Non-past,악랄하냐,악랄해,악랄해요,악랄합니까
Interrogative,Past,악랄했냐,악랄했어,악랄했어요,악랄했습니까
Assertive,Assertive,악랄하겠다,악랄하겠어,악랄하겠어요,악랄하겠습니다
,,,,,
Cause/Reason,Cause/Reason,악랄해,"악랄해서, 악랄하여서",악랄하니,악랄하니까
Contrast,Contrast,악랄하지만,악랄한데,악랄하더니,
Conjunction,Conjunction,악랄하고,,,
Condition,Condition,악랄하면,"악랄해야, 악랄하여야",,
,,,,,
Verbal nouns,Verbal nouns,악랄함,악랄하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"악랄했음, 악랄하였음","악랄했기, 악랄하였기",,
Determiners,Present,,악랄한,,
Determiners,Future,,악랄할,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,악랄하시다,악랄하셔,"악랄하세요, 악랄하셔요",악랄하십니다
Indicative,Past,악랄하셨다,악랄하셨어,악랄하셨어요,악랄하셨습니다
Interrogative,Non-past,악랄하시냐,악랄하셔,"악랄하세요, 악랄하셔요",악랄하십니까
Interrogative,Past,악랄하셨냐,악랄하셨어,악랄하셨어요,악랄하셨습니까
Assertive,Assertive,악랄하시겠다,악랄하시겠어,악랄하시겠어요,악랄하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,악랄하셔,악랄하셔서,악랄하시니,악랄하시니까
Contrast,Contrast,악랄하시지만,악랄하신데,악랄하시더니,
Conjunction,Conjunction,악랄하시고,,,
Condition,Condition,악랄하시면,악랄하셔야,,
,,,,,
Verbal nouns,Verbal nouns,악랄하심,악랄하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,악랄하셨음,악랄하셨기,,
Determiners,Present,,악랄하신,,
Determiners,Future,,악랄하실,,
