,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,고맙다,고마워,고마워요,고맙습니다
Indicative,Past,고마웠다,고마웠어,고마웠어요,고마웠습니다
Interrogative,Non-past,고마우냐,고마워,고마워요,고맙습니까
Interrogative,Past,고마웠냐,고마웠어,고마웠어요,고마웠습니까
Assertive,Assertive,고맙겠다,고맙겠어,고맙겠어요,고맙겠습니다
,,,,,
Cause/Reason,Cause/Reason,고마워,고마워서,고마우니,고마우니까
Contrast,Contrast,고맙지만,고마운데,고맙더니,
Conjunction,Conjunction,고맙고,,,
Condition,Condition,고마우면,고마워야,,
,,,,,
Verbal nouns,Verbal nouns,고마움,고맙기,,
Past-tense verbal nouns,Past-tense verbal nouns,고마웠음,고마웠기,,
Determiners,Present,,고마운,,
Determiners,Future,,고마울,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,고마우시다,고마우셔,"고마우세요, 고마우셔요",고마우십니다
Indicative,Past,고마우셨다,고마우셨어,고마우셨어요,고마우셨습니다
Interrogative,Non-past,고마우시냐,고마우셔,"고마우세요, 고마우셔요",고마우십니까
Interrogative,Past,고마우셨냐,고마우셨어,고마우셨어요,고마우셨습니까
Assertive,Assertive,고마우시겠다,고마우시겠어,고마우시겠어요,고마우시겠습니다
,,,,,
Cause/Reason,Cause/Reason,고마우셔,고마우셔서,고마우시니,고마우시니까
Contrast,Contrast,고마우시지만,고마우신데,고마우시더니,
Conjunction,Conjunction,고마우시고,,,
Condition,Condition,고마우시면,고마우셔야,,
,,,,,
Verbal nouns,Verbal nouns,고마우심,고마우시기,,
Past-tense verbal nouns,Past-tense verbal nouns,고마우셨음,고마우셨기,,
Determiners,Present,,고마우신,,
Determiners,Future,,고마우실,,
