		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	헤아린다	헤아려	헤아려요, 헤아리어요	헤아립니다
Indicative	Past	헤아렸다	헤아렸어	헤아렸어요	헤아렸습니다
Interrogative	Non-past	헤아리느냐	헤아려	헤아려요, 헤아리어요	헤아립니까
Interrogative	Past	헤아렸느냐	헤아렸어	헤아렸어요	헤아렸습니까
Hortative	Hortative	헤아리자	헤아려	헤아려요, 헤아리어요	헤아립시다
Imperative	Imperative	헤아려라, 헤아리어라	헤아려	헤아려요, 헤아리어요	헤아립시오
Assertive	Assertive	헤아리겠다	헤아리겠어	헤아리겠어요	헤아리겠습니다
					
Cause/Reason	Cause/Reason	헤아려	헤아려서, 헤아리어서	헤아리니	헤아리니까
Contrast	Contrast	헤아리지만	헤아리는데	헤아리더니	
Conjunction	Conjunction	헤아리고			
Condition	Condition	헤아리면	헤아려야, 헤아리어야		
Motive	Motive	헤아리려고			
					
Verbal nouns	Verbal nouns	헤아림	헤아리기		
Past-tense verbal nouns	Past-tense verbal nouns	헤아렸음, 헤아리었음	헤아렸기, 헤아리었기		
Determiners	Past	헤아린			
Determiners	Present	헤아리는			
Determiners	Future	헤아릴			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	헤아리신다	헤아리셔	헤아리세요, 헤아리셔요	헤아리십니다
Indicative	Past	헤아리셨다	헤아리셨어	헤아리셨어요	헤아리셨습니다
Interrogative	Non-past	헤아리시느냐	헤아리셔	헤아리세요, 헤아리셔요	헤아리십니까
Interrogative	Past	헤아리셨느냐	헤아리셨어	헤아리셨어요	헤아리셨습니까
Imperative	Imperative	헤아리시라	헤아리셔	헤아리세요	헤아리십시오
Assertive	Assertive	헤아리시겠다	헤아리시겠어	헤아리시겠어요	헤아리시겠습니다
					
Cause/Reason	Cause/Reason	헤아리셔	헤아리셔서	헤아리시니	헤아리시니까
Contrast	Contrast	헤아리시지만	헤아리시는데	헤아리시더니	
Conjunction	Conjunction	헤아리시고			
Condition	Condition	헤아리시면	헤아리셔야		
Motive	Motive	헤아리시려고			
