,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,건전하다,건전해,건전해요,건전합니다
Indicative,Past,건전했다,건전했어,건전했어요,건전했습니다
Interrogative,Non-past,건전하냐,건전해,건전해요,건전합니까
Interrogative,Past,건전했냐,건전했어,건전했어요,건전했습니까
Assertive,Assertive,건전하겠다,건전하겠어,건전하겠어요,건전하겠습니다
,,,,,
Cause/Reason,Cause/Reason,건전해,"건전해서, 건전하여서",건전하니,건전하니까
Contrast,Contrast,건전하지만,건전한데,건전하더니,
Conjunction,Conjunction,건전하고,,,
Condition,Condition,건전하면,"건전해야, 건전하여야",,
,,,,,
Verbal nouns,Verbal nouns,건전함,건전하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"건전했음, 건전하였음","건전했기, 건전하였기",,
Determiners,Present,,건전한,,
Determiners,Future,,건전할,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,건전하시다,건전하셔,"건전하세요, 건전하셔요",건전하십니다
Indicative,Past,건전하셨다,건전하셨어,건전하셨어요,건전하셨습니다
Interrogative,Non-past,건전하시냐,건전하셔,"건전하세요, 건전하셔요",건전하십니까
Interrogative,Past,건전하셨냐,건전하셨어,건전하셨어요,건전하셨습니까
Assertive,Assertive,건전하시겠다,건전하시겠어,건전하시겠어요,건전하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,건전하셔,건전하셔서,건전하시니,건전하시니까
Contrast,Contrast,건전하시지만,건전하신데,건전하시더니,
Conjunction,Conjunction,건전하시고,,,
Condition,Condition,건전하시면,건전하셔야,,
,,,,,
Verbal nouns,Verbal nouns,건전하심,건전하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,건전하셨음,건전하셨기,,
Determiners,Present,,건전하신,,
Determiners,Future,,건전하실,,
