		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	겸손하다	겸손해	겸손해요	겸손합니다
Indicative	Past	겸손했다	겸손했어	겸손했어요	겸손했습니다
Interrogative	Non-past	겸손하냐	겸손해	겸손해요	겸손합니까
Interrogative	Past	겸손했냐	겸손했어	겸손했어요	겸손했습니까
Assertive	Assertive	겸손하겠다	겸손하겠어	겸손하겠어요	겸손하겠습니다
					
Cause/Reason	Cause/Reason	겸손해	겸손해서, 겸손하여서	겸손하니	겸손하니까
Contrast	Contrast	겸손하지만	겸손한데	겸손하더니	
Conjunction	Conjunction	겸손하고			
Condition	Condition	겸손하면	겸손해야, 겸손하여야		
					
Verbal nouns	Verbal nouns	겸손함	겸손하기		
Past-tense verbal nouns	Past-tense verbal nouns	겸손했음, 겸손하였음	겸손했기, 겸손하였기		
Determiners	Present		겸손한		
Determiners	Future		겸손할		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	겸손하시다	겸손하셔	겸손하세요, 겸손하셔요	겸손하십니다
Indicative	Past	겸손하셨다	겸손하셨어	겸손하셨어요	겸손하셨습니다
Interrogative	Non-past	겸손하시냐	겸손하셔	겸손하세요, 겸손하셔요	겸손하십니까
Interrogative	Past	겸손하셨냐	겸손하셨어	겸손하셨어요	겸손하셨습니까
Assertive	Assertive	겸손하시겠다	겸손하시겠어	겸손하시겠어요	겸손하시겠습니다
					
Cause/Reason	Cause/Reason	겸손하셔	겸손하셔서	겸손하시니	겸손하시니까
Contrast	Contrast	겸손하시지만	겸손하신데	겸손하시더니	
Conjunction	Conjunction	겸손하시고			
Condition	Condition	겸손하시면	겸손하셔야		
					
Verbal nouns	Verbal nouns	겸손하심	겸손하시기		
Past-tense verbal nouns	Past-tense verbal nouns	겸손하셨음	겸손하셨기		
Determiners	Present		겸손하신		
Determiners	Future		겸손하실		
