		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	생각한다	생각해	생각해요	생각합니다
Indicative	Past	생각했다	생각했어	생각했어요	생각했습니다
Interrogative	Non-past	생각하느냐	생각해	생각해요	생각합니까
Interrogative	Past	생각했느냐	생각했어	생각했어요	생각했습니까
Hortative	Hortative	생각하자	생각해	생각해요	생각합시다
Imperative	Imperative	생각해라, 생각하여라	생각해	생각해요	생각합시오
Assertive	Assertive	생각하겠다	생각하겠어	생각하겠어요	생각하겠습니다
					
Cause/Reason	Cause/Reason	생각해	생각해서, 생각하여서	생각하니	생각하니까
Contrast	Contrast	생각하지만	생각하는데	생각하더니	
Conjunction	Conjunction	생각하고			
Condition	Condition	생각하면	생각해야, 생각하여야		
Motive	Motive	생각하려고			
					
Verbal nouns	Verbal nouns	생각함	생각하기		
Past-tense verbal nouns	Past-tense verbal nouns	생각했음, 생각하였음	생각했기, 생각하였기		
Determiners	Past	생각한			
Determiners	Present	생각하는			
Determiners	Future	생각할			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	생각하신다	생각하셔	생각하세요, 생각하셔요	생각하십니다
Indicative	Past	생각하셨다	생각하셨어	생각하셨어요	생각하셨습니다
Interrogative	Non-past	생각하시느냐	생각하셔	생각하세요, 생각하셔요	생각하십니까
Interrogative	Past	생각하셨느냐	생각하셨어	생각하셨어요	생각하셨습니까
Imperative	Imperative	생각하시라	생각하셔	생각하세요	생각하십시오
Assertive	Assertive	생각하시겠다	생각하시겠어	생각하시겠어요	생각하시겠습니다
					
Cause/Reason	Cause/Reason	생각하셔	생각하셔서	생각하시니	생각하시니까
Contrast	Contrast	생각하시지만	생각하시는데	생각하시더니	
Conjunction	Conjunction	생각하시고			
Condition	Condition	생각하시면	생각하셔야		
Motive	Motive	생각하시려고			
					
Verbal nouns	Verbal nouns	생각하심	생각하시기		
Past-tense verbal nouns	Past-tense verbal nouns	생각하셨음	생각하셨기		
Determiners	Past	생각하신			
Determiners	Present	생각하시는			
Determiners	Future	생각하실			
