		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	깜찍하다	깜찍해	깜찍해요	깜찍합니다
Indicative	Past	깜찍했다	깜찍했어	깜찍했어요	깜찍했습니다
Interrogative	Non-past	깜찍하냐	깜찍해	깜찍해요	깜찍합니까
Interrogative	Past	깜찍했냐	깜찍했어	깜찍했어요	깜찍했습니까
Assertive	Assertive	깜찍하겠다	깜찍하겠어	깜찍하겠어요	깜찍하겠습니다
					
Cause/Reason	Cause/Reason	깜찍해	깜찍해서깜찍하여서	깜찍하니	깜찍하니까
Contrast	Contrast	깜찍하지만	깜찍한데	깜찍하더니	
Conjunction	Conjunction	깜찍하고			
Condition	Condition	깜찍하면	깜찍해야깜찍하여야		
					
Verbal nouns	Verbal nouns	깜찍함	깜찍하기		
Past-tense verbal nouns	Past-tense verbal nouns	깜찍했음깜찍하였음	깜찍했기깜찍하였기		
Determiners	Present		깜찍한		
Determiners	Future		깜찍할		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	깜찍하시다	깜찍하셔	깜찍하세요깜찍하셔요	깜찍하십니다
Indicative	Past	깜찍하셨다	깜찍하셨어	깜찍하셨어요	깜찍하셨습니다
Interrogative	Non-past	깜찍하시냐	깜찍하셔	깜찍하세요깜찍하셔요	깜찍하십니까
Interrogative	Past	깜찍하셨냐	깜찍하셨어	깜찍하셨어요	깜찍하셨습니까
Assertive	Assertive	깜찍하시겠다	깜찍하시겠어	깜찍하시겠어요	깜찍하시겠습니다
					
Cause/Reason	Cause/Reason	깜찍하셔	깜찍하셔서	깜찍하시니	깜찍하시니까
Contrast	Contrast	깜찍하시지만	깜찍하신데	깜찍하시더니	
Conjunction	Conjunction	깜찍하시고			
Condition	Condition	깜찍하시면	깜찍하셔야		
					
Verbal nouns	Verbal nouns	깜찍하심	깜찍하시기		
Past-tense verbal nouns	Past-tense verbal nouns	깜찍하셨음	깜찍하셨기		
Determiners	Present		깜찍하신		
Determiners	Future		깜찍하실		
					
