,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,防禦한다防禦handa,防禦해防禦hae,防禦해요防禦haeyo,防禦합니다防禦hamnida
Indicative,Past,防禦했다防禦haetda,防禦했어防禦haesseo,防禦했어요防禦haesseoyo,防禦했습니다防禦haetseumnida
Interrogative,Non-past,防禦하느냐防禦haneunya,防禦해防禦hae,防禦해요防禦haeyo,防禦합니까防禦hamnikka
Interrogative,Past,防禦했느냐防禦haenneunya,防禦했어防禦haesseo,防禦했어요防禦haesseoyo,防禦했습니까防禦haetseumnikka
Hortative,Hortative,防禦하자防禦haja,防禦해防禦hae,防禦해요防禦haeyo,防禦합시다防禦hapsida
Imperative,Imperative,"防禦해라防禦하여라防禦haera, 防禦hayeora",防禦해防禦hae,防禦해요防禦haeyo,防禦합시오防禦hapsio
Assertive,Assertive,防禦하겠다防禦hagetda,防禦하겠어防禦hagesseo,防禦하겠어요防禦hagesseoyo,防禦하겠습니다防禦hagetseumnida
,,,,,
Cause/Reason,Cause/Reason,防禦해防禦hae,"防禦해서防禦하여서防禦haeseo, 防禦hayeoseo",防禦하니防禦hani,防禦하니까防禦hanikka
Contrast,Contrast,防禦하지만防禦hajiman,防禦하는데防禦haneunde,防禦하더니防禦hadeoni,
Conjunction,Conjunction,防禦하고防禦hago,,,
Condition,Condition,防禦하면防禦hamyeon,"防禦해야防禦하여야防禦haeya, 防禦hayeoya",,
Motive,Motive,防禦하려고防禦haryeogo,,,
,,,,,
Verbal nouns,Verbal nouns,防禦함防禦ham,防禦하기防禦hagi,,
Past-tense verbal nouns,Past-tense verbal nouns,"防禦했음防禦하였음防禦haesseum, 防禦hayeosseum","防禦했기防禦하였기防禦haetgi, 防禦hayeotgi",,
Determiners,Past,防禦한防禦han,,,
Determiners,Present,防禦하는防禦haneun,,,
Determiners,Future,防禦할防禦hal,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,防禦하신다防禦hasinda,防禦하셔防禦hasyeo,"防禦하세요防禦하셔요防禦haseyo, 防禦hasyeoyo",防禦하십니다防禦hasimnida
Indicative,Past,防禦하셨다防禦hasyeotda,防禦하셨어防禦hasyeosseo,防禦하셨어요防禦hasyeosseoyo,防禦하셨습니다防禦hasyeotseumnida
Interrogative,Non-past,防禦하시느냐防禦hasineunya,防禦하셔防禦hasyeo,"防禦하세요防禦하셔요防禦haseyo, 防禦hasyeoyo",防禦하십니까防禦hasimnikka
Interrogative,Past,防禦하셨느냐防禦hasyeonneunya,防禦하셨어防禦hasyeosseo,防禦하셨어요防禦hasyeosseoyo,防禦하셨습니까防禦hasyeotseumnikka
Imperative,Imperative,防禦하시라防禦hasira,防禦하셔防禦hasyeo,防禦하세요防禦haseyo,防禦하십시오防禦hasipsio
Assertive,Assertive,防禦하시겠다防禦hasigetda,防禦하시겠어防禦hasigesseo,防禦하시겠어요防禦hasigesseoyo,防禦하시겠습니다防禦hasigetseumnida
,,,,,
Cause/Reason,Cause/Reason,防禦하셔防禦hasyeo,防禦하셔서防禦hasyeoseo,防禦하시니防禦hasini,防禦하시니까防禦hasinikka
Contrast,Contrast,防禦하시지만防禦hasijiman,防禦하시는데防禦hasineunde,防禦하시더니防禦hasideoni,
Conjunction,Conjunction,防禦하시고防禦hasigo,,,
Condition,Condition,防禦하시면防禦hasimyeon,防禦하셔야防禦hasyeoya,,
Motive,Motive,防禦하시려고防禦hasiryeogo,,,
,,,,,
Verbal nouns,Verbal nouns,防禦하심防禦hasim,防禦하시기防禦hasigi,,
Past-tense verbal nouns,Past-tense verbal nouns,防禦하셨음防禦hasyeosseum,防禦하셨기防禦hasyeotgi,,
Determiners,Past,防禦하신防禦hasin,,,
Determiners,Present,防禦하시는防禦hasineun,,,
Determiners,Future,防禦하실防禦hasil,,,
