,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,걸리다,걸려,"걸려요, 걸리어요",걸립니다
Indicative,Past,걸렸다,걸렸어,걸렸어요,걸렸습니다
Interrogative,Non-past,걸리냐,걸려,"걸려요, 걸리어요",걸립니까
Interrogative,Past,걸렸냐,걸렸어,걸렸어요,걸렸습니까
Assertive,Assertive,걸리겠다,걸리겠어,걸리겠어요,걸리겠습니다
,,,,,
Cause/Reason,Cause/Reason,걸려,"걸려서, 걸리어서",걸리니,걸리니까
Contrast,Contrast,걸리지만,걸린데,걸리더니,
Conjunction,Conjunction,걸리고,,,
Condition,Condition,걸리면,"걸려야, 걸리어야",,
,,,,,
Verbal nouns,Verbal nouns,걸림,걸리기,,
Past-tense verbal nouns,Past-tense verbal nouns,"걸렸음, 걸리었음","걸렸기, 걸리었기",,
Determiners,Present,,걸린,,
Determiners,Future,,걸릴,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,걸리시다,걸리셔,"걸리세요, 걸리셔요",걸리십니다
Indicative,Past,걸리셨다,걸리셨어,걸리셨어요,걸리셨습니다
Interrogative,Non-past,걸리시냐,걸리셔,"걸리세요, 걸리셔요",걸리십니까
Interrogative,Past,걸리셨냐,걸리셨어,걸리셨어요,걸리셨습니까
Assertive,Assertive,걸리시겠다,걸리시겠어,걸리시겠어요,걸리시겠습니다
,,,,,
Cause/Reason,Cause/Reason,걸리셔,걸리셔서,걸리시니,걸리시니까
Contrast,Contrast,걸리시지만,걸리신데,걸리시더니,
Conjunction,Conjunction,걸리시고,,,
Condition,Condition,걸리시면,걸리셔야,,
,,,,,
Verbal nouns,Verbal nouns,걸리심,걸리시기,,
Past-tense verbal nouns,Past-tense verbal nouns,걸리셨음,걸리셨기,,
Determiners,Present,,걸리신,,
Determiners,Future,,걸리실,,
