0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,폭발한다,폭발해,폭발해요,폭발합니다
Indicative,Past,폭발했다,폭발했어,폭발했어요,폭발했습니다
Interrogative,Non-past,폭발하느냐,폭발해,폭발해요,폭발합니까
Interrogative,Past,폭발했느냐,폭발했어,폭발했어요,폭발했습니까
Hortative,Hortative,폭발하자,폭발해,폭발해요,폭발합시다
Imperative,Imperative,"폭발해라, 폭발하여라",폭발해,폭발해요,폭발합시오
Assertive,Assertive,폭발하겠다,폭발하겠어,폭발하겠어요,폭발하겠습니다
,,,,,
Cause/Reason,Cause/Reason,폭발해,"폭발해서, 폭발하여서",폭발하니,폭발하니까
Contrast,Contrast,폭발하지만,폭발하는데,폭발하더니,
Conjunction,Conjunction,폭발하고,,,
Condition,Condition,폭발하면,"폭발해야, 폭발하여야",,
Motive,Motive,폭발하려고,,,
,,,,,
Verbal nouns,Verbal nouns,폭발함,폭발하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"폭발했음, 폭발하였음","폭발했기, 폭발하였기",,
Determiners,Past,폭발한,,,
Determiners,Present,폭발하는,,,
Determiners,Future,폭발할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,폭발하신다,폭발하셔,"폭발하세요, 폭발하셔요",폭발하십니다
Indicative,Past,폭발하셨다,폭발하셨어,폭발하셨어요,폭발하셨습니다
Interrogative,Non-past,폭발하시느냐,폭발하셔,"폭발하세요, 폭발하셔요",폭발하십니까
Interrogative,Past,폭발하셨느냐,폭발하셨어,폭발하셨어요,폭발하셨습니까
Imperative,Imperative,폭발하시라,폭발하셔,폭발하세요,폭발하십시오
Assertive,Assertive,폭발하시겠다,폭발하시겠어,폭발하시겠어요,폭발하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,폭발하셔,폭발하셔서,폭발하시니,폭발하시니까
Contrast,Contrast,폭발하시지만,폭발하시는데,폭발하시더니,
Conjunction,Conjunction,폭발하시고,,,
Condition,Condition,폭발하시면,폭발하셔야,,
Motive,Motive,폭발하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,폭발하심,폭발하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,폭발하셨음,폭발하셨기,,
Determiners,Past,폭발하신,,,
Determiners,Present,폭발하시는,,,
Determiners,Future,폭발하실,,,
