0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,편다,펴어,펴어요,폅니다
Indicative,Past,펴었다,펴었어,펴었어요,펴었습니다
Interrogative,Non-past,펴느냐,펴어,펴어요,폅니까
Interrogative,Past,펴었느냐,펴었어,펴었어요,펴었습니까
Hortative,Hortative,펴자,펴어,펴어요,폅시다
Imperative,Imperative,펴어라,펴어,펴어요,폅시오
Assertive,Assertive,펴겠다,펴겠어,펴겠어요,펴겠습니다
,,,,,
Cause/Reason,Cause/Reason,펴어,펴어서,펴니,펴니까
Contrast,Contrast,펴지만,펴는데,펴더니,
Conjunction,Conjunction,펴고,,,
Condition,Condition,펴면,펴어야,,
Motive,Motive,펴려고,,,
,,,,,
Verbal nouns,Verbal nouns,폄,펴기,,
Past-tense verbal nouns,Past-tense verbal nouns,펴었음,펴었기,,
Determiners,Past,편,,,
Determiners,Present,펴는,,,
Determiners,Future,펼,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,펴신다,펴셔,"펴세요, 펴셔요",펴십니다
Indicative,Past,펴셨다,펴셨어,펴셨어요,펴셨습니다
Interrogative,Non-past,펴시느냐,펴셔,"펴세요, 펴셔요",펴십니까
Interrogative,Past,펴셨느냐,펴셨어,펴셨어요,펴셨습니까
Imperative,Imperative,펴시라,펴셔,펴세요,펴십시오
Assertive,Assertive,펴시겠다,펴시겠어,펴시겠어요,펴시겠습니다
,,,,,
Cause/Reason,Cause/Reason,펴셔,펴셔서,펴시니,펴시니까
Contrast,Contrast,펴시지만,펴시는데,펴시더니,
Conjunction,Conjunction,펴시고,,,
Condition,Condition,펴시면,펴셔야,,
Motive,Motive,펴시려고,,,
,,,,,
Verbal nouns,Verbal nouns,펴심,펴시기,,
Past-tense verbal nouns,Past-tense verbal nouns,펴셨음,펴셨기,,
Determiners,Past,펴신,,,
Determiners,Present,펴시는,,,
Determiners,Future,펴실,,,
