0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,防禦한다,防禦해,防禦해요,防禦합니다
Indicative,Past,防禦했다,防禦했어,防禦했어요,防禦했습니다
Interrogative,Non-past,防禦하느냐,防禦해,防禦해요,防禦합니까
Interrogative,Past,防禦했느냐,防禦했어,防禦했어요,防禦했습니까
Hortative,Hortative,防禦하자,防禦해,防禦해요,防禦합시다
Imperative,Imperative,"防禦해라, 防禦하여라",防禦해,防禦해요,防禦합시오
Assertive,Assertive,防禦하겠다,防禦하겠어,防禦하겠어요,防禦하겠습니다
,,,,,
Cause/Reason,Cause/Reason,防禦해,"防禦해서, 防禦하여서",防禦하니,防禦하니까
Contrast,Contrast,防禦하지만,防禦하는데,防禦하더니,
Conjunction,Conjunction,防禦하고,,,
Condition,Condition,防禦하면,"防禦해야, 防禦하여야",,
Motive,Motive,防禦하려고,,,
,,,,,
Verbal nouns,Verbal nouns,防禦함,防禦하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"防禦했음, 防禦하였음","防禦했기, 防禦하였기",,
Determiners,Past,防禦한,,,
Determiners,Present,防禦하는,,,
Determiners,Future,防禦할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,防禦하신다,防禦하셔,"防禦하세요, 防禦하셔요",防禦하십니다
Indicative,Past,防禦하셨다,防禦하셨어,防禦하셨어요,防禦하셨습니다
Interrogative,Non-past,防禦하시느냐,防禦하셔,"防禦하세요, 防禦하셔요",防禦하십니까
Interrogative,Past,防禦하셨느냐,防禦하셨어,防禦하셨어요,防禦하셨습니까
Imperative,Imperative,防禦하시라,防禦하셔,防禦하세요,防禦하십시오
Assertive,Assertive,防禦하시겠다,防禦하시겠어,防禦하시겠어요,防禦하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,防禦하셔,防禦하셔서,防禦하시니,防禦하시니까
Contrast,Contrast,防禦하시지만,防禦하시는데,防禦하시더니,
Conjunction,Conjunction,防禦하시고,,,
Condition,Condition,防禦하시면,防禦하셔야,,
Motive,Motive,防禦하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,防禦하심,防禦하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,防禦하셨음,防禦하셨기,,
Determiners,Past,防禦하신,,,
Determiners,Present,防禦하시는,,,
Determiners,Future,防禦하실,,,
