		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	조린다	조려	조려요, 조리어요	조립니다
Indicative	Past	조렸다	조렸어	조렸어요	조렸습니다
Interrogative	Non-past	조리느냐	조려	조려요, 조리어요	조립니까
Interrogative	Past	조렸느냐	조렸어	조렸어요	조렸습니까
Hortative	Hortative	조리자	조려	조려요, 조리어요	조립시다
Imperative	Imperative	조려라, 조리어라	조려	조려요, 조리어요	조립시오
Assertive	Assertive	조리겠다	조리겠어	조리겠어요	조리겠습니다
					
Cause/Reason	Cause/Reason	조려	조려서, 조리어서	조리니	조리니까
Contrast	Contrast	조리지만	조리는데	조리더니	
Conjunction	Conjunction	조리고			
Condition	Condition	조리면	조려야, 조리어야		
Motive	Motive	조리려고			
					
Verbal nouns	Verbal nouns	조림	조리기		
Past-tense verbal nouns	Past-tense verbal nouns	조렸음, 조리었음	조렸기, 조리었기		
Determiners	Past	조린			
Determiners	Present	조리는			
Determiners	Future	조릴			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	조리신다	조리셔	조리세요, 조리셔요	조리십니다
Indicative	Past	조리셨다	조리셨어	조리셨어요	조리셨습니다
Interrogative	Non-past	조리시느냐	조리셔	조리세요, 조리셔요	조리십니까
Interrogative	Past	조리셨느냐	조리셨어	조리셨어요	조리셨습니까
Imperative	Imperative	조리시라	조리셔	조리세요	조리십시오
Assertive	Assertive	조리시겠다	조리시겠어	조리시겠어요	조리시겠습니다
					
Cause/Reason	Cause/Reason	조리셔	조리셔서	조리시니	조리시니까
Contrast	Contrast	조리시지만	조리시는데	조리시더니	
Conjunction	Conjunction	조리시고			
Condition	Condition	조리시면	조리셔야		
Motive	Motive	조리시려고			
					
Verbal nouns	Verbal nouns	조리심	조리시기		
Past-tense verbal nouns	Past-tense verbal nouns	조리셨음	조리셨기		
Determiners	Past	조리신			
Determiners	Present	조리시는			
Determiners	Future	조리실			
