0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,마신다,마셔,"마셔요, 마시어요",마십니다
Indicative,Past,마셨다,마셨어,마셨어요,마셨습니다
Interrogative,Non-past,마시느냐,마셔,"마셔요, 마시어요",마십니까
Interrogative,Past,마셨느냐,마셨어,마셨어요,마셨습니까
Hortative,Hortative,마시자,마셔,"마셔요, 마시어요",마십시다
Imperative,Imperative,"마셔라, 마시어라",마셔,"마셔요, 마시어요",마십시오
Assertive,Assertive,마시겠다,마시겠어,마시겠어요,마시겠습니다
,,,,,
Cause/Reason,Cause/Reason,마셔,"마셔서, 마시어서",마시니,마시니까
Contrast,Contrast,마시지만,마시는데,마시더니,
Conjunction,Conjunction,마시고,,,
Condition,Condition,마시면,"마셔야, 마시어야",,
Motive,Motive,마시려고,,,
,,,,,
Verbal nouns,Verbal nouns,마심,마시기,,
Past-tense verbal nouns,Past-tense verbal nouns,"마셨음, 마시었음","마셨기, 마시었기",,
Determiners,Past,마신,,,
Determiners,Present,마시는,,,
Determiners,Future,마실,,,
