0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,돌아가신다,돌아가셔,"돌아가세요, 돌아가셔요",돌아가십니다
Indicative,Past,돌아가셨다,돌아가셨어,돌아가셨어요,돌아가셨습니다
Interrogative,Non-past,돌아가시느냐,돌아가셔,"돌아가세요, 돌아가셔요",돌아가십니까
Interrogative,Past,돌아가셨느냐,돌아가셨어,돌아가셨어요,돌아가셨습니까
Imperative,Imperative,,,"돌아가세요, 돌아가셔요",돌아가십시오
Assertive,Assertive,돌아가시겠다,돌아가시겠어,돌아가시겠어요,돌아가시겠습니다
,,,,,
Cause/Reason,Cause/Reason,돌아가셔,돌아가셔서,돌아가시니,돌아가시니까
Contrast,Contrast,돌아가시지만,돌아가시는데,돌아가시더니,
Conjunction,Conjunction,돌아가시고,,,
Condition,Condition,돌아가시면,돌아가셔야,,
Motive,Motive,돌아가시려고,,,
,,,,,
Verbal nouns,Verbal nouns,돌아가심,돌아가시기,,
Past-tense verbal nouns,Past-tense verbal nouns,돌아가셨음,돌아가셨기,,
Determiners,Past,돌아가신,,,
Determiners,Present,돌아가시는,,,
Determiners,Future,돌아가실,,,
