0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,뜬다,떠,떠요,뜹니다
Indicative,Past,떴다,떴어,떴어요,떴습니다
Interrogative,Non-past,뜨느냐,떠,떠요,뜹니까
Interrogative,Past,떴느냐,떴어,떴어요,떴습니까
Hortative,Hortative,뜨자,떠,떠요,뜹시다
Imperative,Imperative,떠라,떠,떠요,뜹시오
Assertive,Assertive,뜨겠다,뜨겠어,뜨겠어요,뜨겠습니다
,,,,,
Cause/Reason,Cause/Reason,떠,떠서,뜨니,뜨니까
Contrast,Contrast,뜨지만,뜨는데,뜨더니,
Conjunction,Conjunction,뜨고,,,
Condition,Condition,뜨면,떠야,,
Motive,Motive,뜨려고,,,
,,,,,
Verbal nouns,Verbal nouns,뜸,뜨기,,
Past-tense verbal nouns,Past-tense verbal nouns,떴음,떴기,,
Determiners,Past,뜬,,,
Determiners,Present,뜨는,,,
Determiners,Future,뜰,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,뜨신다,뜨셔,"뜨세요, 뜨셔요",뜨십니다
Indicative,Past,뜨셨다,뜨셨어,뜨셨어요,뜨셨습니다
Interrogative,Non-past,뜨시느냐,뜨셔,"뜨세요, 뜨셔요",뜨십니까
Interrogative,Past,뜨셨느냐,뜨셨어,뜨셨어요,뜨셨습니까
Imperative,Imperative,뜨시라,뜨셔,뜨세요,뜨십시오
Assertive,Assertive,뜨시겠다,뜨시겠어,뜨시겠어요,뜨시겠습니다
,,,,,
Cause/Reason,Cause/Reason,뜨셔,뜨셔서,뜨시니,뜨시니까
Contrast,Contrast,뜨시지만,뜨시는데,뜨시더니,
Conjunction,Conjunction,뜨시고,,,
Condition,Condition,뜨시면,뜨셔야,,
Motive,Motive,뜨시려고,,,
,,,,,
Verbal nouns,Verbal nouns,뜨심,뜨시기,,
Past-tense verbal nouns,Past-tense verbal nouns,뜨셨음,뜨셨기,,
Determiners,Past,뜨신,,,
Determiners,Present,뜨시는,,,
Determiners,Future,뜨실,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,뜬다,떠,떠요,뜹니다
Indicative,Past,떴다,떴어,떴어요,떴습니다
Interrogative,Non-past,뜨느냐,떠,떠요,뜹니까
Interrogative,Past,떴느냐,떴어,떴어요,떴습니까
Hortative,Hortative,뜨자,떠,떠요,뜹시다
Imperative,Imperative,떠라,떠,떠요,뜹시오
Assertive,Assertive,뜨겠다,뜨겠어,뜨겠어요,뜨겠습니다
,,,,,
Cause/Reason,Cause/Reason,떠,떠서,뜨니,뜨니까
Contrast,Contrast,뜨지만,뜨는데,뜨더니,
Conjunction,Conjunction,뜨고,,,
Condition,Condition,뜨면,떠야,,
Motive,Motive,뜨려고,,,
,,,,,
Verbal nouns,Verbal nouns,뜸,뜨기,,
Past-tense verbal nouns,Past-tense verbal nouns,떴음,떴기,,
Determiners,Past,뜬,,,
Determiners,Present,뜨는,,,
Determiners,Future,뜰,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,뜨신다,뜨셔,"뜨세요, 뜨셔요",뜨십니다
Indicative,Past,뜨셨다,뜨셨어,뜨셨어요,뜨셨습니다
Interrogative,Non-past,뜨시느냐,뜨셔,"뜨세요, 뜨셔요",뜨십니까
Interrogative,Past,뜨셨느냐,뜨셨어,뜨셨어요,뜨셨습니까
Imperative,Imperative,뜨시라,뜨셔,뜨세요,뜨십시오
Assertive,Assertive,뜨시겠다,뜨시겠어,뜨시겠어요,뜨시겠습니다
,,,,,
Cause/Reason,Cause/Reason,뜨셔,뜨셔서,뜨시니,뜨시니까
Contrast,Contrast,뜨시지만,뜨시는데,뜨시더니,
Conjunction,Conjunction,뜨시고,,,
Condition,Condition,뜨시면,뜨셔야,,
Motive,Motive,뜨시려고,,,
,,,,,
Verbal nouns,Verbal nouns,뜨심,뜨시기t,,
Past-tense verbal nouns,Past-tense verbal nouns,뜨셨음,뜨셨기,,
Determiners,Past,뜨신,,,
Determiners,Present,뜨시는,,,
Determiners,Future,뜨실,,,
