0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,그런다,그래,그래요,그럽니다
Indicative,Past,그랬다,그랬어,그랬어요,그랬습니다
Interrogative,Non-past,그러느냐,그래,그래요,그럽니까
Interrogative,Past,그랬느냐,그랬어,그랬어요,그랬습니까
Hortative,Hortative,그러자,그래,그래요,그럽시다
Imperative,Imperative,그래라,그래,그래요,그럽시오
Assertive,Assertive,그러겠다,그러겠어,그러겠어요,그러겠습니다
,,,,,
Cause/Reason,Cause/Reason,그래,그래서,그러니,그러니까
Contrast,Contrast,그러지만,그러는데,그러더니,
Conjunction,Conjunction,그러고,,,
Condition,Condition,그러면,그래야,,
Motive,Motive,그러려고,,,
,,,,,
Verbal nouns,Verbal nouns,그럼,그러기,,
Past-tense verbal nouns,Past-tense verbal nouns,그랬음,그랬기,,
Determiners,Past,그런,,,
Determiners,Present,그러는,,,
Determiners,Future,그럴,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,그러신다,그러셔,"그러세요, 그러셔요",그러십니다
Indicative,Past,그러셨다,그러셨어,그러셨어요,그러셨습니다
Interrogative,Non-past,그러시느냐,그러셔,"그러세요, 그러셔요",그러십니까
Interrogative,Past,그러셨느냐,그러셨어,그러셨어요,그러셨습니까
Imperative,Imperative,그러시라,그러셔,그러세요,그러십시오
Assertive,Assertive,그러시겠다,그러시겠어,그러시겠어요,그러시겠습니다
,,,,,
Cause/Reason,Cause/Reason,그러셔,그러셔서,그러시니,그러시니까
Contrast,Contrast,그러시지만,그러시는데,그러시더니,
Conjunction,Conjunction,그러시고,,,
Condition,Condition,그러시면,그러셔야,,
Motive,Motive,그러시려고,,,
,,,,,
Verbal nouns,Verbal nouns,그러심,그러시기,,
Past-tense verbal nouns,Past-tense verbal nouns,그러셨음,그러셨기,,
Determiners,Past,그러신,,,
Determiners,Present,그러시는,,,
Determiners,Future,그러실,,,
