0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,모른다,몰라,몰라요,모릅니다
Indicative,Past,몰랐다,몰랐어,몰랐어요,몰랐습니다
Interrogative,Non-past,모르느냐,몰라,몰라요,모릅니까
Interrogative,Past,몰랐느냐,몰랐어,몰랐어요,몰랐습니까
Hortative,Hortative,모르자,몰라,몰라요,모릅시다
Assertive,Assertive,모르겠다,모르겠어,모르겠어요,모르겠습니다
,,,,,
Cause/Reason,Cause/Reason,몰라,몰라서,모르니,모르니까
Contrast,Contrast,모르지만,모르는데,모르더니,
Conjunction,Conjunction,모르고,,,
Condition,Condition,모르면,몰라야,,
Motive,Motive,모르려고,,,
,,,,,
Verbal nouns,Verbal nouns,모름,모르기,,
Past-tense verbal nouns,Past-tense verbal nouns,몰랐음,몰랐기,,
Determiners,Past,모른,,,
Determiners,Present,모르는,,,
Determiners,Future,모를,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,모르신다,모르셔,"모르세요, 모르셔요",모르십니다
Indicative,Past,모르셨다,모르셨어,모르셨어요,모르셨습니다
Interrogative,Non-past,모르시느냐,모르셔,"모르세요, 모르셔요",모르십니까
Interrogative,Past,모르셨느냐,모르셨어,모르셨어요,모르셨습니까
Assertive,Assertive,모르시겠다,모르시겠어,모르시겠어요,모르시겠습니다
,,,,,
Cause/Reason,Cause/Reason,모르셔,모르셔서,모르시니,모르시니까
Contrast,Contrast,모르시지만,모르시는데,모르시더니,
Conjunction,Conjunction,모르시고,,,
Condition,Condition,모르시면,모르셔야,,
Motive,Motive,모르시려고,,,
,,,,,
Verbal nouns,Verbal nouns,모르심,모르시기,,
Past-tense verbal nouns,Past-tense verbal nouns,모르셨음,모르셨기,,
Determiners,Past,모르신,,,
Determiners,Present,모르시는,,,
Determiners,Future,모르실,,,
