0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,값나간다,값나가,값나가요,값나갑니다
Indicative,Past,값나갔다,값나갔어,값나갔어요,값나갔습니다
Interrogative,Non-past,값나가느냐,값나가,값나가요,값나갑니까
Interrogative,Past,값나갔느냐,값나갔어,값나갔어요,값나갔습니까
Hortative,Hortative,값나가자,값나가,값나가요,값나갑시다
Imperative,Imperative,"값나가거라, 값나가라",값나가,값나가요,값나갑시오
Assertive,Assertive,값나가겠다,값나가겠어,값나가겠어요,값나가겠습니다
,,,,,
Cause/Reason,Cause/Reason,값나가,값나가서,값나가니,값나가니까
Contrast,Contrast,값나가지만,값나가는데,값나가더니,
Conjunction,Conjunction,값나가고,,,
Condition,Condition,값나가면,값나가야,,
Motive,Motive,값나가려고,,,
,,,,,
Verbal nouns,Verbal nouns,값나감,값나가기,,
Past-tense verbal nouns,Past-tense verbal nouns,값나갔음,값나갔기,,
Determiners,Past,값나간,,,
Determiners,Present,값나가는,,,
Determiners,Future,값나갈,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,값나가신다,값나가셔,"값나가세요, 값나가셔요",값나가십니다
Indicative,Past,값나가셨다,값나가셨어,값나가셨어요,값나가셨습니다
Interrogative,Non-past,값나가시느냐,값나가셔,"값나가세요, 값나가셔요",값나가십니까
Interrogative,Past,값나가셨느냐,값나가셨어,값나가셨어요,값나가셨습니까
Imperative,Imperative,값나가시라,값나가셔,값나가세요,값나가십시오
Assertive,Assertive,값나가시겠다,값나가시겠어,값나가시겠어요,값나가시겠습니다
,,,,,
Cause/Reason,Cause/Reason,값나가셔,값나가셔서,값나가시니,값나가시니까
Contrast,Contrast,값나가시지만,값나가시는데,값나가시더니,
Conjunction,Conjunction,값나가시고,,,
Condition,Condition,값나가시면,값나가셔야,,
Motive,Motive,값나가시려고,,,
,,,,,
Verbal nouns,Verbal nouns,값나가심,값나가시기,,
Past-tense verbal nouns,Past-tense verbal nouns,값나가셨음,값나가셨기,,
Determiners,Past,값나가신,,,
Determiners,Present,값나가시는,,,
Determiners,Future,값나가실,,,
