0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,진정한다,진정해,진정해요,진정합니다
Indicative,Past,진정했다,진정했어,진정했어요,진정했습니다
Interrogative,Non-past,진정하느냐,진정해,진정해요,진정합니까
Interrogative,Past,진정했느냐,진정했어,진정했어요,진정했습니까
Hortative,Hortative,진정하자,진정해,진정해요,진정합시다
Imperative,Imperative,"진정해라, 진정하여라",진정해,진정해요,진정합시오
Assertive,Assertive,진정하겠다,진정하겠어,진정하겠어요,진정하겠습니다
,,,,,
Cause/Reason,Cause/Reason,진정해,"진정해서, 진정하여서j",진정하니,진정하니까
Contrast,Contrast,진정하지만,진정하는데,진정하더니,
Conjunction,Conjunction,진정하고,,,
Condition,Condition,진정하면,"진정해야, 진정하여야",,
Motive,Motive,진정하려고,,,
,,,,,
Verbal nouns,Verbal nouns,진정함,진정하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"진정했음, 진정하였음","진정했기, 진정하였기",,
Determiners,Past,진정한,,,
Determiners,Present,진정하는,,,
Determiners,Future,진정할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,진정하신다,진정하셔,"진정하세요, 진정하셔요",진정하십니다
Indicative,Past,진정하셨다,진정하셨어,진정하셨어요,진정하셨습니다
Interrogative,Non-past,진정하시느냐,진정하셔,"진정하세요, 진정하셔요",진정하십니까
Interrogative,Past,진정하셨느냐,진정하셨어,진정하셨어요,진정하셨습니까
Imperative,Imperative,진정하시라,진정하셔,진정하세요,진정하십시오
Assertive,Assertive,진정하시겠다,진정하시겠어,진정하시겠어요,진정하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,진정하셔,진정하셔서,진정하시니,진정하시니까
Contrast,Contrast,진정하시지만,진정하시는데,진정하시더니,
Conjunction,Conjunction,진정하시고,,,
Condition,Condition,진정하시면,진정하셔야,,
Motive,Motive,진정하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,진정하심,진정하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,진정하셨음,진정하셨기,,
Determiners,Past,진정하신,,,
Determiners,Present,진정하시는,,,
Determiners,Future,진정하실,,,
