0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,않다,않아,않아요,않습니다
Indicative,Past,않았다,않았어,않았어요,않았습니다
Interrogative,Non-past,않으냐,않아,않아요,않습니까
Interrogative,Past,않았냐,않았어,않았어요,않았습니까
Assertive,Assertive,않겠다,않겠어,않겠어요,않겠습니다
,,,,,
Cause/Reason,Cause/Reason,않아,않아서,않으니,않으니까
Contrast,Contrast,않지만,않은데,않더니,
Conjunction,Conjunction,않고,,,
Condition,Condition,않으면,않아야,,
,,,,,
Verbal nouns,Verbal nouns,않음,않기,,
Past-tense verbal nouns,Past-tense verbal nouns,않았음,않았기,,
Determiners,Present,,않은,,
Determiners,Future,,않을,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,않으시다,않으셔,"않으세요, 않으셔요",않으십니다
Indicative,Past,않으셨다,않으셨어,않으셨어요,않으셨습니다
Interrogative,Non-past,않으시냐,않으셔,"않으세요, 않으셔요",않으십니까
Interrogative,Past,않으셨냐,않으셨어,않으셨어요,않으셨습니까
Assertive,Assertive,않으시겠다,않으시겠어,않으시겠어요,않으시겠습니다
,,,,,
Cause/Reason,Cause/Reason,않으셔,않으셔서,않으시니,않으시니까
Contrast,Contrast,않으시지만,않으신데,않으시더니,
Conjunction,Conjunction,않으시고,,,
Condition,Condition,않으시면,않으셔야,,
,,,,,
Verbal nouns,Verbal nouns,않으심,않으시기,,
Past-tense verbal nouns,Past-tense verbal nouns,않으셨음,않으셨기,,
Determiners,Present,,않으신,,
Determiners,Future,,않으실,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,않는다,않아,않아요,않습니다
Indicative,Past,않았다,않았어,않았어요,않았습니다
Interrogative,Non-past,않느냐,않아,않아요,않습니까
Interrogative,Past,않았느냐,않았어,않았어요,않았습니까
Hortative,Hortative,않자,않아,않아요,않읍시다
Assertive,Assertive,않겠다,않겠어,않겠어요,않겠습니다
,,,,,
Cause/Reason,Cause/Reason,않아,않아서,않으니,않으니까
Contrast,Contrast,않지만,않는데,않더니,
Conjunction,Conjunction,않고,,,
Condition,Condition,않으면,않아야,,
Motive,Motive,않으려고,,,
,,,,,
Verbal nouns,Verbal nouns,않음,않기,,
Past-tense verbal nouns,Past-tense verbal nouns,않았음,않았기,,
Determiners,Past,않은,,,
Determiners,Present,않는,,,
Determiners,Future,않을,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,않으신다,않으셔,"않으세요, 않으셔요",않으십니다
Indicative,Past,않으셨다,않으셨어,않으셨어요,않으셨습니다
Interrogative,Non-past,않으시느냐,않으셔,"않으세요, 않으셔요",않으십니까
Interrogative,Past,않으셨느냐,않으셨어,않으셨어요,않으셨습니까
Assertive,Assertive,않으시겠다,않으시겠어,않으시겠어요,않으시겠습니다
,,,,,
Cause/Reason,Cause/Reason,않으셔,않으셔서,않으시니,않으시니까
Contrast,Contrast,않으시지만,않으시는데,않으시더니,
Conjunction,Conjunction,않으시고,,,
Condition,Condition,않으시면,않으셔야,,
Motive,Motive,않으시려고,,,
,,,,,
Verbal nouns,Verbal nouns,않으심,않으시기,,
Past-tense verbal nouns,Past-tense verbal nouns,않으셨음,않으셨기,,
Determiners,Past,않으신,,,
Determiners,Present,않으시는,,,
Determiners,Future,않으실,,,
