0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,훔친다,훔쳐,"훔쳐요, 훔치어요",훔칩니다
Indicative,Past,훔쳤다,훔쳤어,훔쳤어요,훔쳤습니다
Interrogative,Non-past,훔치느냐,훔쳐,"훔쳐요, 훔치어요",훔칩니까
Interrogative,Past,훔쳤느냐,훔쳤어,훔쳤어요,훔쳤습니까
Hortative,Hortative,훔치자,훔쳐,"훔쳐요, 훔치어요",훔칩시다
Imperative,Imperative,"훔쳐라, 훔치어라",훔쳐,"훔쳐요, 훔치어요",훔칩시오
Assertive,Assertive,훔치겠다,훔치겠어,훔치겠어요,훔치겠습니다
,,,,,
Cause/Reason,Cause/Reason,훔쳐,"훔쳐서, 훔치어서",훔치니,훔치니까
Contrast,Contrast,훔치지만,훔치는데,훔치더니,
Conjunction,Conjunction,훔치고,,,
Condition,Condition,훔치면,"훔쳐야, 훔치어야",,
Motive,Motive,훔치려고,,,
,,,,,
Verbal nouns,Verbal nouns,훔침,훔치기,,
Past-tense verbal nouns,Past-tense verbal nouns,"훔쳤음, 훔치었음","훔쳤기, 훔치었기",,
Determiners,Past,훔친,,,
Determiners,Present,훔치는,,,
Determiners,Future,훔칠,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,훔치신다,훔치셔,"훔치세요, 훔치셔요",훔치십니다
Indicative,Past,훔치셨다,훔치셨어,훔치셨어요,훔치셨습니다
Interrogative,Non-past,훔치시느냐,훔치셔,"훔치세요, 훔치셔요",훔치십니까
Interrogative,Past,훔치셨느냐,훔치셨어,훔치셨어요,훔치셨습니까
Imperative,Imperative,훔치시라,훔치셔,훔치세요,훔치십시오
Assertive,Assertive,훔치시겠다,훔치시겠어,훔치시겠어요,훔치시겠습니다
,,,,,
Cause/Reason,Cause/Reason,훔치셔,훔치셔서,훔치시니,훔치시니까
Contrast,Contrast,훔치시지만,훔치시는데,훔치시더니,
Conjunction,Conjunction,훔치시고,,,
Condition,Condition,훔치시면,훔치셔야,,
Motive,Motive,훔치시려고,,,
,,,,,
Verbal nouns,Verbal nouns,훔치심,훔치시기,,
Past-tense verbal nouns,Past-tense verbal nouns,훔치셨음,훔치셨기,,
Determiners,Past,훔치신,,,
Determiners,Present,훔치시는,,,
Determiners,Future,훔치실,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,훔친다,훔쳐,"훔쳐요, 훔치어요",훔칩니다
Indicative,Past,훔쳤다,훔쳤어,훔쳤어요,훔쳤습니다
Interrogative,Non-past,훔치느냐,훔쳐,"훔쳐요, 훔치어요",훔칩니까
Interrogative,Past,훔쳤느냐,훔쳤어,훔쳤어요,훔쳤습니까
Hortative,Hortative,훔치자,훔쳐,"훔쳐요, 훔치어요",훔칩시다
Imperative,Imperative,"훔쳐라, 훔치어라",훔쳐,"훔쳐요, 훔치어요",훔칩시오
Assertive,Assertive,훔치겠다,훔치겠어,훔치겠어요,훔치겠습니다
,,,,,
Cause/Reason,Cause/Reason,훔쳐,"훔쳐서, 훔치어서",훔치니,훔치니까
Contrast,Contrast,훔치지만,훔치는데,훔치더니,
Conjunction,Conjunction,훔치고,,,
Condition,Condition,훔치면,"훔쳐야, 훔치어야",,
Motive,Motive,훔치려고,,,
,,,,,
Verbal nouns,Verbal nouns,훔침,훔치기,,
Past-tense verbal nouns,Past-tense verbal nouns,"훔쳤음, 훔치었음","훔쳤기, 훔치었기",,
Determiners,Past,훔친,,,
Determiners,Present,훔치는,,,
Determiners,Future,훔칠,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,훔치신다,훔치셔,"훔치세요, 훔치셔요",훔치십니다
Indicative,Past,훔치셨다,훔치셨어,훔치셨어요,훔치셨습니다
Interrogative,Non-past,훔치시느냐,훔치셔,"훔치세요, 훔치셔요",훔치십니까
Interrogative,Past,훔치셨느냐,훔치셨어,훔치셨어요,훔치셨습니까
Imperative,Imperative,훔치시라,훔치셔,훔치세요,훔치십시오
Assertive,Assertive,훔치시겠다,훔치시겠어,훔치시겠어요,훔치시겠습니다
,,,,,
Cause/Reason,Cause/Reason,훔치셔,훔치셔서,훔치시니,훔치시니까
Contrast,Contrast,훔치시지만,훔치시는데,훔치시더니,
Conjunction,Conjunction,훔치시고,,,
Condition,Condition,훔치시면,훔치셔야,,
Motive,Motive,훔치시려고,,,
,,,,,
Verbal nouns,Verbal nouns,훔치심,훔치시기,,
Past-tense verbal nouns,Past-tense verbal nouns,훔치셨음,훔치셨기,,
Determiners,Past,훔치신,,,
Determiners,Present,훔치시는,,,
Determiners,Future,훔치실,,,
