0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,밝다,밝아,밝아요,밝습니다
Indicative,Past,밝았다,밝았어,밝았어요,밝았습니다
Interrogative,Non-past,밝으냐,밝아,밝아요,밝습니까
Interrogative,Past,밝았냐,밝았어,밝았어요,밝았습니까
Assertive,Assertive,밝겠다,밝겠어,밝겠어요,밝겠습니다
,,,,,
Cause/Reason,Cause/Reason,밝아,밝아서,밝으니,밝으니까
Contrast,Contrast,밝지만,밝은데,밝더니,
Conjunction,Conjunction,밝고,,,
Condition,Condition,밝으면,밝아야,,
,,,,,
Verbal nouns,Verbal nouns,밝음,밝기,,
Past-tense verbal nouns,Past-tense verbal nouns,밝았음,밝았기,,
Determiners,Present,,밝은,,
Determiners,Future,,밝을,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,밝으시다,밝으셔,"밝으세요, 밝으셔요",밝으십니다
Indicative,Past,밝으셨다,밝으셨어,밝으셨어요,밝으셨습니다
Interrogative,Non-past,밝으시냐,밝으셔,"밝으세요, 밝으셔요",밝으십니까
Interrogative,Past,밝으셨냐,밝으셨어,밝으셨어요,밝으셨습니까
Assertive,Assertive,밝으시겠다,밝으시겠어,밝으시겠어요,밝으시겠습니다
,,,,,
Cause/Reason,Cause/Reason,밝으셔,밝으셔서,밝으시니,밝으시니까
Contrast,Contrast,밝으시지만,밝으신데,밝으시더니,
Conjunction,Conjunction,밝으시고,,,
Condition,Condition,밝으시면,밝으셔야,,
,,,,,
Verbal nouns,Verbal nouns,밝으심,밝으시기,,
Past-tense verbal nouns,Past-tense verbal nouns,밝으셨음,밝으셨기,,
Determiners,Present,,밝으신,,
Determiners,Future,,밝으실,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,밝는다,밝아,밝아요,밝습니다
Indicative,Past,밝았다,밝았어,밝았어요,밝았습니다
Interrogative,Non-past,밝느냐,밝아,밝아요,밝습니까
Interrogative,Past,밝았느냐,밝았어,밝았어요,밝았습니까
Hortative,Hortative,밝자,밝아,밝아요,밝읍시다
Imperative,Imperative,밝아라,밝아,밝아요,밝읍시오
Assertive,Assertive,밝겠다,밝겠어,밝겠어요,밝겠습니다
,,,,,
Cause/Reason,Cause/Reason,밝아,밝아서,밝으니,밝으니까
Contrast,Contrast,밝지만,밝는데,밝더니,
Conjunction,Conjunction,밝고,,,
Condition,Condition,밝으면,밝아야,,
Motive,Motive,밝으려고,,,
,,,,,
Verbal nouns,Verbal nouns,밝음,밝기,,
Past-tense verbal nouns,Past-tense verbal nouns,밝았음,밝았기,,
Determiners,Past,밝은,,,
Determiners,Present,밝는,,,
Determiners,Future,밝을,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,밝으신다,밝으셔,"밝으세요, 밝으셔요",밝으십니다
Indicative,Past,밝으셨다,밝으셨어,밝으셨어요,밝으셨습니다
Interrogative,Non-past,밝으시느냐,밝으셔,"밝으세요, 밝으셔요",밝으십니까
Interrogative,Past,밝으셨느냐,밝으셨어,밝으셨어요,밝으셨습니까
Imperative,Imperative,밝으시라,밝으셔,밝으세요,밝으십시오
Assertive,Assertive,밝으시겠다,밝으시겠어,밝으시겠어요,밝으시겠습니다
,,,,,
Cause/Reason,Cause/Reason,밝으셔,밝으셔서,밝으시니,밝으시니까
Contrast,Contrast,밝으시지만,밝으시는데,밝으시더니,
Conjunction,Conjunction,밝으시고,,,
Condition,Condition,밝으시면,밝으셔야,,
Motive,Motive,밝으시려고,,,
,,,,,
Verbal nouns,Verbal nouns,밝으심,밝으시기,,
Past-tense verbal nouns,Past-tense verbal nouns,밝으셨음,밝으셨기,,
Determiners,Past,밝으신,,,
Determiners,Present,밝으시는,,,
Determiners,Future,밝으실,,,
