0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,그을린다,그을려,"그을려요, 그을리어요",그을립니다
Indicative,Past,그을렸다,그을렸어,그을렸어요,그을렸습니다
Interrogative,Non-past,그을리느냐,그을려,"그을려요, 그을리어요",그을립니까
Interrogative,Past,그을렸느냐,그을렸어,그을렸어요,그을렸습니까
Hortative,Hortative,그을리자,그을려,"그을려요, 그을리어요",그을립시다
Imperative,Imperative,"그을려라, 그을리어라",그을려,"그을려요, 그을리어요",그을립시오
Assertive,Assertive,그을리겠다,그을리겠어,그을리겠어요,그을리겠습니다
,,,,,
Cause/Reason,Cause/Reason,그을려,"그을려서, 그을리어서",그을리니,그을리니까
Contrast,Contrast,그을리지만,그을리는데,그을리더니,
Conjunction,Conjunction,그을리고,,,
Condition,Condition,그을리면,"그을려야, 그을리어야",,
Motive,Motive,그을리려고,,,
,,,,,
Verbal nouns,Verbal nouns,그을림,그을리기,,
Past-tense verbal nouns,Past-tense verbal nouns,"그을렸음, 그을리었음","그을렸기, 그을리었기",,
Determiners,Past,그을린,,,
Determiners,Present,그을리는,,,
Determiners,Future,그을릴,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,그을리신다,그을리셔,"그을리세요, 그을리셔요",그을리십니다
Indicative,Past,그을리셨다,그을리셨어,그을리셨어요,그을리셨습니다
Interrogative,Non-past,그을리시느냐,그을리셔,"그을리세요, 그을리셔요",그을리십니까
Interrogative,Past,그을리셨느냐,그을리셨어,그을리셨어요,그을리셨습니까
Imperative,Imperative,그을리시라,그을리셔,그을리세요,그을리십시오
Assertive,Assertive,그을리시겠다,그을리시겠어,그을리시겠어요,그을리시겠습니다
,,,,,
Cause/Reason,Cause/Reason,그을리셔,그을리셔서,그을리시니,그을리시니까
Contrast,Contrast,그을리시지만,그을리시는데,그을리시더니,
Conjunction,Conjunction,그을리시고,,,
Condition,Condition,그을리시면,그을리셔야,,
Motive,Motive,그을리시려고,,,
,,,,,
Verbal nouns,Verbal nouns,그을리심,그을리시기,,
Past-tense verbal nouns,Past-tense verbal nouns,그을리셨음,그을리셨기,,
Determiners,Past,그을리신,,,
Determiners,Present,그을리시는,,,
Determiners,Future,그을리실,,,
