0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,포함된다,포함돼,"포함돼요, 포함되어요",포함됩니다
Indicative,Past,포함됐다,포함됐어,포함됐어요,포함됐습니다
Interrogative,Non-past,포함되느냐,포함돼,"포함돼요, 포함되어요",포함됩니까
Interrogative,Past,포함됐느냐,포함됐어,포함됐어요,포함됐습니까
Hortative,Hortative,포함되자,포함돼,"포함돼요, 포함되어요",포함됩시다
Imperative,Imperative,"포함돼라, 포함되어라",포함돼,"포함돼요, 포함되어요",포함됩시오
Assertive,Assertive,포함되겠다,포함되겠어,포함되겠어요,포함되겠습니다
,,,,,
Cause/Reason,Cause/Reason,포함돼,"포함돼서, 포함되어서",포함되니,포함되니까
Contrast,Contrast,포함되지만,포함되는데,포함되더니,
Conjunction,Conjunction,포함되고,,,
Condition,Condition,포함되면,"포함돼야, 포함되어야",,
Motive,Motive,포함되려고,,,
,,,,,
Verbal nouns,Verbal nouns,포함됨,포함되기,,
Past-tense verbal nouns,Past-tense verbal nouns,"포함됐음, 포함되었음","포함됐기, 포함되었기",,
Determiners,Past,포함된,,,
Determiners,Present,포함되는,,,
Determiners,Future,포함될,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,포함되신다,포함되셔,"포함되세요, 포함되셔요",포함되십니다
Indicative,Past,포함되셨다,포함되셨어,포함되셨어요,포함되셨습니다
Interrogative,Non-past,포함되시느냐,포함되셔,"포함되세요, 포함되셔요",포함되십니까
Interrogative,Past,포함되셨느냐,포함되셨어,포함되셨어요,포함되셨습니까
Imperative,Imperative,포함되시라,포함되셔,포함되세요,포함되십시오
Assertive,Assertive,포함되시겠다,포함되시겠어,포함되시겠어요,포함되시겠습니다
,,,,,
Cause/Reason,Cause/Reason,포함되셔,포함되셔서,포함되시니,포함되시니까
Contrast,Contrast,포함되시지만,포함되시는데,포함되시더니,
Conjunction,Conjunction,포함되시고,,,
Condition,Condition,포함되시면,포함되셔야,,
Motive,Motive,포함되시려고,,,
,,,,,
Verbal nouns,Verbal nouns,포함되심,포함되시기,,
Past-tense verbal nouns,Past-tense verbal nouns,포함되셨음,포함되셨기,,
Determiners,Past,포함되신,,,
Determiners,Present,포함되시는,,,
Determiners,Future,포함되실,,,
